Disease Category,Disease,January,February,March,April,May,June,July,August,September,October,November,December,Yearly Cases,Year
Sexually Transmitted and Bloodborne Infections,"Syphilis, late congenital",4169,49,3570,9475,1196,742,6941,5644,1044,8866,987,1130,43813,2022
Sexually Transmitted and Bloodborne Infections,"Syphilis, late congenital",7734,519,4703,6698,2948,2218,6887,6135,6266,7348,6184,6154,63794,2023
Sexually Transmitted and Bloodborne Infections,"Syphilis, late congenital",1314,8835,2178,5697,1943,2924,8802,6439,8664,2086,3648,56,52586,2024
Sexually Transmitted and Bloodborne Infections,"Syphilis, late congenital",372,4888,7585,8920,6948,8715,6214,3762,4055,7546,5671,2541,67217,2025
Sexually Transmitted and Bloodborne Infections,"Syphilis, late latent",4516,3088,1848,527,6868,256,3943,3376,1102,1653,9731,550,37458,2021
Sexually Transmitted and Bloodborne Infections,"Syphilis, late latent",7314,9794,797,4009,724,6590,7191,3839,8843,3559,924,2295,55879,2022
Sexually Transmitted and Bloodborne Infections,"Syphilis, late latent",8255,4739,3836,9438,5224,9461,9796,5253,3881,4944,2347,8540,75714,2023
Sexually Transmitted and Bloodborne Infections,"Syphilis, late latent",3621,6775,4923,4508,998,9121,9693,2869,6999,9107,8120,768,67502,2024
Sexually Transmitted and Bloodborne Infections,"Syphilis, late latent",5642,6244,8592,5222,6821,6688,2444,4913,6167,3012,8813,7758,72316,2025
Sexually Transmitted and Bloodborne Infections,"Syphilis, other",3948,3692,4927,2365,7586,944,9214,6761,6824,9130,8683,2196,66270,2021
Sexually Transmitted and Bloodborne Infections,"Syphilis, other",6363,3978,4177,3331,5411,1295,7369,6079,1514,8775,3120,844,52256,2022
Sexually Transmitted and Bloodborne Infections,"Syphilis, other",4398,6179,9911,9878,647,1192,3082,9626,9156,3555,7854,3422,68900,2023
Sexually Transmitted and Bloodborne Infections,"Syphilis, other",5455,4967,251,3470,3113,1922,7846,3974,9902,3350,6498,3921,54669,2024
Sexually Transmitted and Bloodborne Infections,"Syphilis, other",9045,5269,4637,6236,7639,8743,5886,5053,4285,5892,8401,8147,79233,2025
Sexually Transmitted and Bloodborne Infections,Syphilitic stillbirth,7635,1615,7692,5246,3328,6073,5126,6781,749,9216,3625,2390,59476,2021
Sexually Transmitted and Bloodborne Infections,Syphilitic stillbirth,265,4272,9065,9568,9488,6841,4836,2497,3214,5404,3768,6223,65441,2022
Sexually Transmitted and Bloodborne Infections,Syphilitic stillbirth,9335,4026,8180,9021,5530,4216,8005,8037,7550,2756,5770,2773,75199,2023
Sexually Transmitted and Bloodborne Infections,Syphilitic stillbirth,2293,8954,8000,3015,8882,962,8584,554,1217,794,104,6756,50115,2024
Sexually Transmitted and Bloodborne Infections,Syphilitic stillbirth,2252,3791,1113,2474,149,3583,8285,7471,6114,990,7916,7993,52131,2025
Vaccine Preventable Diseases,Acute flaccid paralysis,257,108,8719,9038,6739,194,274,8673,4501,8777,4697,280,52257,2021
Vaccine Preventable Diseases,Acute flaccid paralysis,8228,7054,2937,1753,1578,8591,2439,3948,3144,8625,4135,5807,58239,2022
Vaccine Preventable Diseases,Acute flaccid paralysis,4379,6502,1294,6112,6652,7520,9256,3984,3700,4914,1320,519,56152,2023
Vaccine Preventable Diseases,Acute flaccid paralysis,1531,6640,6213,6179,9055,7798,919,154,2807,1354,8189,7109,57948,2024
Vaccine Preventable Diseases,Acute flaccid paralysis,5427,9270,1562,8653,697,3764,3463,9286,7790,4441,762,1218,56333,2025
Vaccine Preventable Diseases,Adverse vaccine reactions,4593,8897,9232,539,2938,5152,256,3394,9617,2362,6525,1260,54765,2021
Vaccine Preventable Diseases,Adverse vaccine reactions,4903,2661,9239,3939,9284,6375,8856,5435,6288,2292,1284,8204,68760,2022
Vaccine Preventable Diseases,Adverse vaccine reactions,5666,879,1600,7161,3803,1245,5580,9915,9758,6499,5347,485,57938,2023
Vaccine Preventable Diseases,Adverse vaccine reactions,4478,7381,8038,3737,5829,9060,6150,7075,3043,9598,6227,1404,72020,2024
Vaccine Preventable Diseases,Adverse vaccine reactions,4839,4037,1204,1344,4390,2526,6225,2527,6383,5188,5909,1745,46317,2025
Vaccine Preventable Diseases,Chickenpox (Varicella),1499,85,5050,7286,5896,4419,1674,2170,1430,3070,7061,7353,46993,2021
Vaccine Preventable Diseases,Chickenpox (Varicella),9125,9088,8395,6685,1692,430,1468,5798,9080,1524,9780,9798,72863,2022
Vaccine Preventable Diseases,Chickenpox (Varicella),5315,6311,202,4781,6779,6353,1387,9167,3977,9370,8537,2778,64957,2023
Vaccine Preventable Diseases,Chickenpox (Varicella),6237,2777,2274,4405,4933,4397,8079,2390,1036,2739,7121,4521,50909,2024
Vaccine Preventable Diseases,Chickenpox (Varicella),6899,4911,7933,1260,5916,4123,4040,8123,9728,3203,7501,1752,65389,2025
Vaccine Preventable Diseases,Diphtheria,2219,4991,110,6483,5443,6224,5399,7212,5484,7055,9738,2230,62588,2021
Vaccine Preventable Diseases,Diphtheria,4922,5253,9883,3290,7848,5147,2910,6524,5228,4775,8044,9435,73259,2022
Vaccine Preventable Diseases,Diphtheria,3971,5339,6161,4592,6437,5980,1865,9238,3273,9703,8939,2947,68445,2023
Vaccine Preventable Diseases,Diphtheria,9012,440,7563,3434,7183,4773,1133,6703,8180,2280,4961,3965,59627,2024
Vaccine Preventable Diseases,Diphtheria,4139,2525,6932,6176,1211,7357,9796,7851,9539,6566,8755,8300,79147,2025
Vaccine Preventable Diseases,"Haemophilus influenzae, invasive (all types)",6853,8907,602,5890,8796,9729,1392,1791,4067,5816,2725,725,57293,2021
Vaccine Preventable Diseases,"Haemophilus influenzae, invasive (all types)",9227,6547,5432,7052,1735,172,1615,4239,3637,8366,8499,9142,65663,2022
Vaccine Preventable Diseases,"Haemophilus influenzae, invasive (all types)",9511,9424,3621,7303,6129,6408,7586,9643,8199,2469,5651,402,76346,2023
Vaccine Preventable Diseases,"Haemophilus influenzae, invasive (all types)",7909,1712,4840,6815,1406,1901,2321,5707,5110,5620,7460,3389,54190,2024
Vaccine Preventable Diseases,"Haemophilus influenzae, invasive (all types)",8537,7912,5706,7801,1599,7178,7412,5225,1100,4919,732,1885,60006,2025
Vaccine Preventable Diseases,Influenza,370,5620,1791,2692,3996,8454,2858,9042,2623,5422,9172,6985,59025,2021
Vaccine Preventable Diseases,Influenza,7570,3798,6636,3022,3053,7080,6481,478,3232,7365,9702,7037,65454,2022
Vaccine Preventable Diseases,Influenza,6370,72,3519,3371,4560,1025,9459,1667,8796,3063,5993,5340,53235,2023
Vaccine Preventable Diseases,Influenza,3228,7496,1867,4298,8019,8646,5134,9780,6367,6431,9617,1871,72754,2024
Vaccine Preventable Diseases,Influenza,5700,5766,7501,2826,4873,9669,1388,2194,5131,1931,3908,5003,55890,2025
Vaccine Preventable Diseases,Measles,1916,2999,6116,2316,8369,6364,6852,9771,2258,9417,6286,6931,69595,2021
Vaccine Preventable Diseases,Measles,3043,7973,8804,2838,9091,2733,8022,4732,2298,3065,5154,7389,65142,2022
Vaccine Preventable Diseases,Measles,878,5882,157,7939,2236,3196,6290,9200,8281,8109,6703,8056,66927,2023
Vaccine Preventable Diseases,Measles,6809,7272,8006,2740,1354,9263,505,3613,4785,535,4503,3683,53068,2024
Vaccine Preventable Diseases,Measles,8808,4729,2755,7492,9267,8115,9006,8369,1854,9383,1871,4389,76038,2025
Vaccine Preventable Diseases,"Meningococcal disease, invasive (IMD)",8898,6010,8880,681,7231,8951,3580,6965,1677,4055,4877,528,62333,2021
Vaccine Preventable Diseases,"Meningococcal disease, invasive (IMD)",7368,4305,5711,1425,7193,1923,3882,3438,9632,5744,9998,7015,67634,2022
Vaccine Preventable Diseases,"Meningococcal disease, invasive (IMD)",2719,2281,3385,3390,972,9340,5747,8720,4605,9778,8827,2758,62522,2023
Vaccine Preventable Diseases,"Meningococcal disease, invasive (IMD)",5302,4794,4740,9383,4380,8428,1560,2221,6743,971,4543,2078,55143,2024
Vaccine Preventable Diseases,"Meningococcal disease, invasive (IMD)",2174,4090,2396,5277,4055,6434,8019,2329,9460,4402,6786,6146,61568,2025
Vaccine Preventable Diseases,Mumps,7405,1237,1525,6600,8447,4558,6046,7449,7996,5362,9534,40,66199,2021
Vaccine Preventable Diseases,Mumps,1526,7511,5869,1037,8756,6516,3568,7039,3470,8105,4399,5289,63085,2022
Vaccine Preventable Diseases,Mumps,4646,5533,8967,9468,2139,9275,7951,5631,793,752,1631,7529,64315,2023
Vaccine Preventable Diseases,Mumps,266,2035,2588,7230,7479,11,7009,3314,2161,4945,2604,4489,44131,2024
Vaccine Preventable Diseases,Mumps,1529,5905,4102,1350,6092,2711,848,6493,5005,3836,7032,1494,46397,2025
Vaccine Preventable Diseases,Pertussis (Whooping Cough),1559,17,3496,7812,1276,2174,9726,3705,8510,7291,152,132,45850,2021
Vaccine Preventable Diseases,Pertussis (Whooping Cough),5629,1975,6919,2165,7826,1160,3751,6276,1463,1678,1690,5133,45665,2022
Vaccine Preventable Diseases,Pertussis (Whooping Cough),6022,4902,2246,6270,2181,2340,1120,8691,9228,138,9999,2688,55825,2023
Vaccine Preventable Diseases,Pertussis (Whooping Cough),7210,5753,3490,2480,6745,7248,3559,1420,1646,2293,2017,9659,53520,2024
Vaccine Preventable Diseases,Pertussis (Whooping Cough),6291,5759,7035,5152,2290,4059,4537,1380,4065,9066,9846,9830,69310,2025
Vaccine Preventable Diseases,"Pneumococcal disease, invasive (IPD)",9954,4668,439,4942,3366,8482,9943,8348,3090,6418,4842,894,65386,2021
Vaccine Preventable Diseases,"Pneumococcal disease, invasive (IPD)",3921,8108,6322,1847,3949,8185,9730,1163,8655,197,5916,5185,63178,2022
Vaccine Preventable Diseases,"Pneumococcal disease, invasive (IPD)",2162,6337,9312,6895,5986,8951,2830,7717,1195,273,9623,1106,62387,2023
Vaccine Preventable Diseases,"Pneumococcal disease, invasive (IPD)",225,4295,3534,652,990,6520,8300,4693,8209,6806,6939,6590,57753,2024
Vaccine Preventable Diseases,"Pneumococcal disease, invasive (IPD)",1350,8791,8808,2501,4546,1369,5077,1294,8377,3329,2545,8788,56775,2025
Vaccine Preventable Diseases,Poliomyelitis,5353,6401,9608,1083,5081,7167,3909,948,4005,1412,7118,1900,53985,2021
Vaccine Preventable Diseases,Poliomyelitis,7428,9975,901,5067,2877,1956,207,2248,185,2684,8133,5680,47341,2022
Vaccine Preventable Diseases,Poliomyelitis,8568,8474,4247,2735,6092,2079,4403,1934,480,5488,7034,4456,55990,2023
Vaccine Preventable Diseases,Poliomyelitis,8582,1046,4308,9447,1262,8128,7457,8368,5900,908,8185,9287,72878,2024
Vaccine Preventable Diseases,Poliomyelitis,2734,6024,2577,4179,1685,9402,1889,3742,8336,42,721,201,41532,2025
Vaccine Preventable Diseases,Rubella,4006,753,7729,5963,6274,2458,2932,579,9058,6870,3678,5272,55572,2021
Vaccine Preventable Diseases,Rubella,4067,6819,5241,4444,1276,9364,6108,1956,8225,862,2938,3656,54956,2022
Vaccine Preventable Diseases,Rubella,8450,752,6568,1129,7620,4625,5090,5362,1415,9061,7483,130,57685,2023
Vaccine Preventable Diseases,Rubella,6044,3287,4777,9237,4979,3974,7600,6033,9694,8083,3201,8954,75863,2024
Vaccine Preventable Diseases,Rubella,4016,2466,104,6718,391,3817,8872,5675,157,5488,23,6164,43891,2025
Vaccine Preventable Diseases,"Rubella, congenital syndrome (CRS)",5038,1703,3361,8680,3902,6878,8061,981,2332,4584,1524,719,47763,2021
Vaccine Preventable Diseases,"Rubella, congenital syndrome (CRS)",3792,8515,6767,6102,7511,1391,9515,1565,8280,2187,6461,1226,63312,2022
Vaccine Preventable Diseases,"Rubella, congenital syndrome (CRS)",9697,9303,1020,7126,2141,3879,4778,4276,5161,6438,5345,5211,64375,2023
Vaccine Preventable Diseases,"Rubella, congenital syndrome (CRS)",7417,4455,3827,1223,3321,2230,9579,1785,2546,1731,2693,7365,48172,2024
Vaccine Preventable Diseases,"Rubella, congenital syndrome (CRS)",7635,5145,6660,1978,8780,5870,3401,7404,5051,7591,4341,1964,65820,2025
Vaccine Preventable Diseases,Smallpox,1481,2582,4984,9884,660,3522,5370,2430,1494,4066,5828,6492,48793,2021
Vaccine Preventable Diseases,Smallpox,8412,802,4896,4262,2848,509,6625,7408,9108,9013,4093,1551,59527,2022
Vaccine Preventable Diseases,Smallpox,7570,1669,2290,1989,195,1010,3641,2141,3246,6563,6098,1376,37788,2023
Vaccine Preventable Diseases,Smallpox,9540,9602,4240,1228,357,1056,3239,7265,2110,1506,5432,2007,47582,2024
Vaccine Preventable Diseases,Smallpox,699,7552,829,2752,9402,7096,6471,8128,483,6270,6990,2831,59503,2025
Vaccine Preventable Diseases,Tetanus,5799,3517,3066,4505,4585,7307,2435,567,4026,4835,8173,6750,55565,2021
Vaccine Preventable Diseases,Tetanus,9022,7848,999,1437,4583,6275,2248,6868,3267,8614,4082,8907,64150,2022
Vaccine Preventable Diseases,Tetanus,319,6266,5883,7859,8921,7940,5636,9267,8231,5269,6363,4430,76384,2023
Vaccine Preventable Diseases,Tetanus,2946,427,5224,9783,3588,480,4602,959,7728,8674,5856,9568,59835,2024
Vaccine Preventable Diseases,Tetanus,3813,2615,1640,4060,3951,4366,8743,916,3594,9432,6363,5813,55306,2025
Vectorborne and Zoonotic Diseases,Anaplasmosis,2846,2885,3875,9707,5210,5878,9692,462,5761,9300,9234,2328,67178,2021
Vectorborne and Zoonotic Diseases,Anaplasmosis,9225,3084,8064,8882,5063,2876,8035,621,1478,920,3811,9857,61916,2022
Vectorborne and Zoonotic Diseases,Anaplasmosis,3584,326,8625,7831,11,5435,3300,2137,5582,2907,5301,975,46014,2023
Vectorborne and Zoonotic Diseases,Anaplasmosis,359,2420,9611,2320,1817,8622,5978,1188,6120,6481,9601,1655,56172,2024
Vectorborne and Zoonotic Diseases,Anaplasmosis,5514,4944,5285,2235,2580,7157,7982,5198,2854,9207,5846,3657,62459,2025
Vectorborne and Zoonotic Diseases,Anthrax,9649,2872,6199,5026,4825,2086,2911,29,9385,6415,9297,530,59224,2021
Vectorborne and Zoonotic Diseases,Anthrax,2983,9869,5213,3619,9265,1705,8129,2304,5425,1274,3899,5682,59367,2022
Vectorborne and Zoonotic Diseases,Anthrax,5234,2750,1453,5500,7317,186,4345,3435,4088,1110,5742,4205,45365,2023
Vectorborne and Zoonotic Diseases,Anthrax,1770,20,788,6323,7179,6875,2725,6783,8078,6204,5754,8946,61445,2024
Vectorborne and Zoonotic Diseases,Anthrax,6149,1661,7855,9470,3695,2664,7393,1207,547,4831,328,5221,51021,2025
Vectorborne and Zoonotic Diseases,Babesiosis,4278,1715,1215,5600,2787,6151,2636,1228,8962,1525,5536,9732,51365,2021
Vectorborne and Zoonotic Diseases,Babesiosis,7909,507,7066,2703,9950,7113,2573,877,1659,5424,3367,3112,52260,2022
Vectorborne and Zoonotic Diseases,Babesiosis,6705,9078,8849,4346,4612,4872,3891,1571,813,6437,9367,9005,69546,2023
Vectorborne and Zoonotic Diseases,Babesiosis,8043,2516,893,5911,62,7005,1435,4825,9833,7869,3271,1589,53252,2024
Vectorborne and Zoonotic Diseases,Babesiosis,421,3390,2798,4781,1342,7758,1892,5052,6512,7715,8013,4341,54015,2025
Vectorborne and Zoonotic Diseases,Brucellosis,1493,8914,6349,3029,6078,6249,6052,3056,7303,731,4313,7204,60771,2021
Vectorborne and Zoonotic Diseases,Brucellosis,7619,4315,3706,4400,9244,1009,2476,1584,1404,5632,8871,6782,57042,2022
Vectorborne and Zoonotic Diseases,Brucellosis,9662,3727,9070,999,6342,8561,6858,8773,7779,9383,3860,7803,82817,2023
Vectorborne and Zoonotic Diseases,Brucellosis,4896,1293,6468,568,8226,9358,8467,9363,2415,1970,7357,2832,63213,2024
Vectorborne and Zoonotic Diseases,Brucellosis,2738,3471,3157,2067,699,6936,1283,7133,3308,2422,9749,4225,47188,2025
Vectorborne and Zoonotic Diseases,Echinococcus multilocularis infection,5238,1097,1425,6358,9115,6510,9044,5343,4525,8514,7506,202,64877,2021
Vectorborne and Zoonotic Diseases,Echinococcus multilocularis infection,9626,8561,6874,1843,6790,2451,2428,9283,9632,9546,1641,1730,70405,2022
Vectorborne and Zoonotic Diseases,Echinococcus multilocularis infection,9219,1654,4687,8775,5633,6732,4327,6275,7955,9372,9977,7750,82356,2023
Vectorborne and Zoonotic Diseases,Echinococcus multilocularis infection,613,2821,4512,6602,2356,9972,6581,635,6484,5431,3892,807,50706,2024
Vectorborne and Zoonotic Diseases,Echinococcus multilocularis infection,7785,4400,6102,331,5535,4965,5094,4593,8054,1609,3734,2201,54403,2025
Vectorborne and Zoonotic Diseases,Hantavirus,4923,7259,5257,4414,6828,9911,1462,3079,7237,3463,6671,7937,68441,2021
Vectorborne and Zoonotic Diseases,Hantavirus,8462,6126,920,8442,2604,1075,5097,8303,6609,2222,8589,9317,67766,2022
Vectorborne and Zoonotic Diseases,Hantavirus,474,2846,3158,3288,944,4087,541,7478,828,5904,3262,4488,37298,2023
Vectorborne and Zoonotic Diseases,Hantavirus,6035,7605,8275,6503,2029,500,3963,6102,8008,9732,7308,2909,68969,2024
Vectorborne and Zoonotic Diseases,Hantavirus,7775,9615,9033,5730,5640,2679,4237,1480,4670,449,6333,813,58454,2025
Vectorborne and Zoonotic Diseases,Hemorrhagic fevers,2669,9375,3511,3626,3688,3387,4408,6709,8409,328,145,7767,54022,2021
Vectorborne and Zoonotic Diseases,Hemorrhagic fevers,2167,2837,9849,138,3666,4135,9967,5004,4511,6943,6168,5713,61098,2022
Vectorborne and Zoonotic Diseases,Hemorrhagic fevers,7520,4128,3575,7646,4950,8530,6506,9576,1676,120,8380,6131,68738,2023
Vectorborne and Zoonotic Diseases,Hemorrhagic fevers,9198,9728,9978,4631,4890,1771,7892,1045,5509,4529,5327,4536,69034,2024
Vectorborne and Zoonotic Diseases,Hemorrhagic fevers,4278,4895,3086,2456,8475,3937,930,9830,6620,5236,2292,417,52452,2025
Vectorborne and Zoonotic Diseases,Lassa fever,8148,4843,4250,6857,6628,6361,578,9552,9372,3111,5622,3643,68965,2021
Vectorborne and Zoonotic Diseases,Lassa fever,8759,7794,5873,8311,4918,2785,9146,2967,4813,1599,7713,2096,66774,2022
Vectorborne and Zoonotic Diseases,Lassa fever,4237,9159,2999,5499,1463,3641,5820,3659,5031,6889,5428,6089,59914,2023
Vectorborne and Zoonotic Diseases,Lassa fever,4269,9593,4817,7598,1929,7709,879,9561,9507,1166,7736,3187,67951,2024
Vectorborne and Zoonotic Diseases,Lassa fever,8199,1963,6253,8680,4888,6768,885,2470,2250,3281,5614,6704,57955,2025
Vectorborne and Zoonotic Diseases,Lyme disease,9329,7496,2346,5183,2954,1324,7988,5449,2897,5134,950,77,51127,2021
Vectorborne and Zoonotic Diseases,Lyme disease,7406,4481,3430,2762,9441,2595,8021,1442,2120,7105,7035,6609,62447,2022
Vectorborne and Zoonotic Diseases,Lyme disease,7029,7821,6280,76,618,8745,3267,6112,230,5279,8700,3122,57279,2023
Vectorborne and Zoonotic Diseases,Lyme disease,293,67,4076,3707,5641,5113,2112,1682,6284,8246,9644,5015,51880,2024
Vectorborne and Zoonotic Diseases,Lyme disease,2736,1069,749,4885,4764,7469,8524,9770,8587,5535,7105,2192,63385,2025
Vectorborne and Zoonotic Diseases,Plague,5615,8031,5885,3087,2701,6609,313,3742,3675,2149,3460,359,45626,2021
Vectorborne and Zoonotic Diseases,Plague,9661,8267,2768,2017,6006,612,6147,4190,8761,796,9730,785,59740,2022
Vectorborne and Zoonotic Diseases,Plague,1771,323,790,1897,6828,7279,6230,2024,8966,4140,7772,2508,50528,2023
Vectorborne and Zoonotic Diseases,Plague,3366,152,4933,6895,1654,8524,4423,9922,2247,6862,1718,8381,59077,2024
Vectorborne and Zoonotic Diseases,Plague,1928,4631,1867,1741,8154,3254,9977,3272,4308,8571,3304,5864,56871,2025
Vectorborne and Zoonotic Diseases,Powassan virus,6713,4839,2627,645,8980,8132,3402,7875,5416,3842,44,208,52723,2021
Vectorborne and Zoonotic Diseases,Powassan virus,1458,1809,9406,8095,2443,1475,8383,1229,1659,4192,3787,7483,51419,2022
Vectorborne and Zoonotic Diseases,Powassan virus,4850,4327,7606,820,1635,2862,646,4760,5901,5123,6979,1898,47407,2023
Vectorborne and Zoonotic Diseases,Powassan virus,1556,751,158,2267,2793,5384,5857,7171,4395,1522,6105,5615,43574,2024
Vectorborne and Zoonotic Diseases,Powassan virus,2996,1865,6566,6557,7479,4453,6319,7835,6909,2732,1852,2171,57734,2025
Vectorborne and Zoonotic Diseases,Psittacosis/Ornithosis,960,2611,1699,6816,9678,7908,9321,7178,2969,6221,5875,472,61708,2021
Vectorborne and Zoonotic Diseases,Psittacosis/Ornithosis,2140,7914,7997,1850,6738,7220,753,1037,4286,5148,202,8598,53883,2022
Vectorborne and Zoonotic Diseases,Psittacosis/Ornithosis,9447,9257,3669,5542,8504,8570,1560,7091,4072,7895,5664,6305,77576,2023
Vectorborne and Zoonotic Diseases,Psittacosis/Ornithosis,2435,9147,894,190,2571,8283,7688,8123,2709,1226,8055,5253,56574,2024
Vectorborne and Zoonotic Diseases,Psittacosis/Ornithosis,3946,5421,4557,824,8305,3648,9019,6203,6607,3850,1291,7521,61192,2025
Vectorborne and Zoonotic Diseases,Q fever,7277,9388,7341,1442,8166,7324,5178,1944,8148,291,1681,6609,64789,2021
Vectorborne and Zoonotic Diseases,Q fever,6755,587,9128,8996,2,1489,9899,4990,8328,9213,3389,7474,70250,2022
Vectorborne and Zoonotic Diseases,Q fever,5584,5953,889,3652,7445,5439,9177,9829,7751,5952,7414,1868,70953,2023
Vectorborne and Zoonotic Diseases,Q fever,1596,3633,35,5592,5818,4783,8973,8552,6125,1741,750,2689,50287,2024
Vectorborne and Zoonotic Diseases,Q fever,8067,2301,6704,1752,4166,3209,3072,1978,6437,3532,7488,3122,51828,2025
Vectorborne and Zoonotic Diseases,Rabies,5536,1765,6790,761,9647,2018,7381,7493,9655,8260,2205,8172,69683,2021
Vectorborne and Zoonotic Diseases,Rabies,71,8689,795,9064,7091,9586,7912,8328,2903,9479,2845,2103,68866,2022
Vectorborne and Zoonotic Diseases,Rabies,1696,6347,9839,9931,5273,8259,6302,6859,9977,4067,4482,6518,79550,2023
Vectorborne and Zoonotic Diseases,Rabies,5617,4819,7419,2185,2263,6762,9871,8393,4897,8975,5143,9069,75413,2024
Vectorborne and Zoonotic Diseases,Rabies,3560,3291,3435,4760,5657,2173,2913,8255,8888,5281,1890,5771,55874,2025
Vectorborne and Zoonotic Diseases,Tularemia,9212,7870,9548,9349,6839,8747,4684,6920,209,8564,1744,414,74100,2021
Vectorborne and Zoonotic Diseases,Tularemia,6240,2381,869,927,3275,4374,2636,4695,4105,2399,1016,4835,37752,2022
Vectorborne and Zoonotic Diseases,Tularemia,3342,8866,529,5876,7415,1679,9205,3675,9195,6371,3892,8370,68415,2023
Vectorborne and Zoonotic Diseases,Tularemia,4712,769,6251,6349,6825,5122,9046,881,212,4117,3327,7259,54870,2024
Vectorborne and Zoonotic Diseases,Tularemia,3695,6025,9640,8955,9885,3218,3170,4819,7353,2906,1220,3063,63949,2025
Vectorborne and Zoonotic Diseases,West Nile Virus (WNV),2847,8418,1955,6180,665,7020,4572,9119,4329,2131,2636,9568,59440,2021
Vectorborne and Zoonotic Diseases,West Nile Virus (WNV),4178,92,5415,7640,2536,654,2518,5285,9779,833,4934,8037,51901,2022
Vectorborne and Zoonotic Diseases,West Nile Virus (WNV),9382,9013,5866,1194,5207,8608,3603,3012,8529,1117,8276,2611,66418,2023
Vectorborne and Zoonotic Diseases,West Nile Virus (WNV),6814,8897,8798,6609,1506,5724,3624,3495,5437,5424,5911,4809,67048,2024
Vectorborne and Zoonotic Diseases,West Nile Virus (WNV),3579,8691,7780,9196,144,1879,5668,7301,3937,3994,653,5258,58080,2025
Other Diseases,Blastomycosis,6248,1857,6322,4203,8851,4633,404,8468,6143,8426,8335,7300,71190,2021
Other Diseases,Blastomycosis,7975,718,4856,3154,5248,8419,1349,1572,2742,8814,8736,120,53703,2022
Other Diseases,Blastomycosis,1072,3453,3492,6950,1702,3368,8810,7130,1181,2519,389,7523,47589,2023
Other Diseases,Blastomycosis,5434,620,1433,1200,889,2916,4127,9143,1154,9420,3729,4237,44302,2024
Other Diseases,Blastomycosis,6678,6357,7391,6626,7094,5183,276,6381,1938,8762,96,1036,57818,2025
Other Diseases,Candida auris,9594,745,1189,5860,8238,1738,4748,4937,9937,1417,4612,7170,60185,2021
Other Diseases,Candida auris,6249,6473,504,7765,2561,8740,3602,2234,6406,8941,4832,2360,60667,2022
Other Diseases,Candida auris,4883,6113,182,9068,9094,2316,2019,684,82,9383,9775,6456,60055,2023
Other Diseases,Candida auris,8800,8970,1394,4992,3441,5633,3469,6760,8397,2333,2637,3014,59840,2024
Other Diseases,Candida auris,3617,4140,3183,1877,2971,9294,891,8992,7557,9005,1198,4762,57487,2025
Other Diseases,Carbapenemase-producing Enterobacteriaceae (CPE),1103,4107,1608,3234,9512,7982,5420,5851,2100,3842,1639,4671,51069,2021
Other Diseases,Carbapenemase-producing Enterobacteriaceae (CPE),1143,3170,5206,7960,7383,5379,5008,9571,2496,9266,9287,5971,71840,2022
Other Diseases,Carbapenemase-producing Enterobacteriaceae (CPE),5182,7017,2762,79,5131,4033,3629,7145,4533,5889,2200,5432,53032,2023
Other Diseases,Carbapenemase-producing Enterobacteriaceae (CPE),7863,7583,7296,5877,5004,7978,9038,1783,2879,9938,1343,4597,71179,2024
Other Diseases,Carbapenemase-producing Enterobacteriaceae (CPE),2293,8824,3218,4312,1252,1235,305,8309,511,9533,9484,6637,55913,2025
Other Diseases,Creutzfeldt-Jakob disease (CJD),9667,3485,600,9037,4269,8904,8842,7734,2435,5993,6430,3658,71054,2021
Other Diseases,Creutzfeldt-Jakob disease (CJD),9660,4767,2193,7613,8210,8362,1483,6500,5961,8227,173,3913,67062,2022
Other Diseases,Creutzfeldt-Jakob disease (CJD),2717,8423,2299,7310,2608,2935,9279,9270,2395,7921,5878,662,61697,2023
Other Diseases,Creutzfeldt-Jakob disease (CJD),3585,7989,3796,1029,4331,6052,3834,701,3387,8485,5918,6358,55465,2024
Other Diseases,Creutzfeldt-Jakob disease (CJD),7695,7448,760,653,5309,1691,8542,4480,4314,9480,8918,9341,68631,2025
